x,y,value,smoothed_value
207,241.0,3991.9354838709673,3774.193548387097
208,246.0,3387.0967741935483,3604.8387096774195
209,242.0,3870.967741935484,3532.258064516129
210,247.0,3266.1290322580644,3362.9032258064517
211,248.0,3145.161290322581,3411.2903225806454
212,248.0,3145.161290322581,3217.741935483871
213,244.0,3629.032258064516,3241.9354838709683
214,250.0,2903.2258064516127,3290.3225806451615
215,246.0,3387.0967741935483,3193.5483870967746
216,246.0,3387.0967741935483,3000.0
217,252.0,2661.2903225806454,2927.4193548387098
218,252.0,2661.2903225806454,2758.064516129032
219,253.0,2540.322580645161,2685.483870967742
220,253.0,2540.322580645161,2637.0967741935483
221,249.0,3024.1935483870966,2588.709677419355
222,254.0,2419.3548387096776,2540.3225806451615
223,254.0,2419.3548387096776,2612.9032258064517
224,255.0,2298.3870967741937,2298.3870967741937
225,250.0,2903.2258064516127,2903.2258064516127
226,256.0,2177.4193548387098,2540.322580645162
227,252.0,2661.2903225806454,2467.741935483871
228,252.0,2661.2903225806454,2370.967741935484
229,258.0,1935.483870967742,2298.3870967741937
230,254.0,2419.3548387096776,2225.806451612903
231,259.0,1814.516129032258,2153.2258064516127
232,255.0,2298.3870967741937,2201.6129032258063
233,255.0,2298.3870967741937,2032.2580645161293
234,256.0,2177.4193548387098,2080.6451612903224
235,261.0,1572.5806451612905,1911.2903225806454
236,257.0,2056.451612903226,1838.7096774193549
237,262.0,1451.6129032258063,1645.1612903225807
238,258.0,1935.483870967742,1693.5483870967741
239,264.0,1209.6774193548388,1209.6774193548388
240,259.0,1814.516129032258,1814.516129032258
241,260.0,1693.5483870967741,1451.6129032258066
242,266.0,967.741935483871,967.741935483871
243,261.0,1572.5806451612905,1572.5806451612905
244,262.0,1451.6129032258063,1112.9032258064517
245,267.0,846.7741935483871,1185.483870967742
246,268.0,725.8064516129032,725.8064516129032
247,263.0,1330.6451612903227,1330.6451612903227
248,269.0,604.8387096774194,725.8064516129033
249,270.0,483.8709677419355,774.1935483870968
250,270.0,483.8709677419355,556.4516129032257
251,266.0,967.741935483871,604.8387096774193
252,272.0,241.93548387096774,241.93548387096774
253,267.0,846.7741935483871,846.7741935483871
254,268.0,725.8064516129032,362.9032258064516
255,274.0,-0.0,290.4197434900894
256,274.0,-0.0,96.96851923824329
257,275.0,-120.48192771084337,-72.28915662650601
258,275.0,-120.48192771084337,-72.28915662650601
259,275.0,-120.48192771084337,-72.28915662650601
260,274.0,-0.0,-96.38554216867469
261,274.0,-0.0,-120.48192771084337
263,276.0,-240.96385542168673,-144.57831325301203
264,276.0,-240.96385542168673,-192.77108433734938
265,276.0,-240.96385542168673,-240.96385542168673
266,276.0,-240.96385542168673,-240.96385542168673
267,276.0,-240.96385542168673,-265.0602409638554
268,276.0,-240.96385542168673,-289.15662650602405
269,277.0,-361.44578313253015,-337.34939759036143
270,277.0,-361.44578313253015,-506.0240963855422
271,278.0,-481.92771084337346,-698.7951807228915
272,283.0,-1084.3373493975903,-891.566265060241
273,284.0,-1204.8192771084337,-963.8554216867471
274,285.0,-1325.3012048192772,-1325.3012048192772
275,280.0,-722.8915662650603,-722.8915662650603
276,286.0,-1445.7831325301206,-1445.7831325301206
277,281.0,-843.3734939759036,-843.3734939759036
278,288.0,-1686.7469879518071,-1686.7469879518071
279,283.0,-1084.3373493975903,-1084.3373493975903
280,284.0,-1204.8192771084337,-1590.3614457831325
281,290.0,-1927.7108433734938,-1542.168674698795
282,291.0,-2048.1927710843374,-2048.1927710843374
283,286.0,-1445.7831325301206,-1445.7831325301206
284,292.0,-2168.6746987951806,-2168.6746987951806
285,287.0,-1566.2650602409637,-1566.2650602409637
286,293.0,-2289.156626506024,-2144.5783132530123
287,293.0,-2289.156626506024,-2096.385542168675
288,294.0,-2409.6385542168673,-2168.6746987951806
289,290.0,-1927.7108433734938,-2120.481927710843
290,290.0,-1927.7108433734938,-2192.7710843373497
291,291.0,-2048.1927710843374,-2240.963855421687
292,296.0,-2650.6024096385545,-2409.6385542168673
293,296.0,-2650.6024096385545,-2481.9277108433735
294,297.0,-2771.0843373493976,-2530.120481927711
295,293.0,-2289.156626506024,-2481.9277108433735
296,293.0,-2289.156626506024,-2554.2168674698796
297,294.0,-2409.6385542168673,-2506.024096385542
298,299.0,-3012.0481927710844,-2674.6987951807228
299,295.0,-2530.1204819277104,-2722.89156626506
300,300.0,-3373.4939759036142,-3373.4939759036142
301,295.0,-2530.1204819277104,-2698.7951807228915
302,296.0,-2650.6024096385545,-2722.8915662650606
303,296.0,-2650.6024096385545,-2433.734939759036
304,296.0,-2650.6024096385545,-2120.4819277108436
305,288.0,-1686.7469879518071,-1662.6506024096386
306,282.0,-963.8554216867469,-1150.6024096385543
307,277.0,-361.44578313253015,-641.2924424972621
308,274.75,-90.36144578313254,-330.8197826270124
309,274.8636363636364,-104.05257393209325,-167.10610438463073
310,275.11538461538464,-134.38368860055925,1.957245790262391
311,275.20588235294116,-145.28703047483853,261.9650188178566
312,270.0,483.8709677419355,1226.3239207010495
313,264.0,1209.6774193548388,2317.7167874534193
314,235.0,4717.741935483871,3000.0
315,230.0,5322.580645161291,5322.580645161291
316,247.0,3266.1290322580644,3266.1290322580644
317,222.0,6290.322580645162,5927.41935483871
318,215.0,7137.096774193548,6000.000000000001
319,211.0,7620.967741935484,7620.967741935484
320,227.0,5685.4838709677415,5685.4838709677415
321,201.0,8830.645161290324,8830.645161290324
322,218.0,6774.193548387097,6774.193548387097
323,191.0,10040.322580645161,10040.322580645161
324,209.0,7862.903225806452,7862.903225806452
325,203.0,8588.709677419356,9580.645161290324
326,177.0,11733.870967741936,11733.870967741936
327,194.0,9677.41935483871,9677.41935483871
328,189.0,10282.258064516129,10717.741935483871
329,186.0,10645.161290322581,10681.451612903227
330,181.0,11250.0,11116.935483870968
331,178.5,11552.41935483871,11431.451612903225
332,176.0,11854.838709677419,11794.354838709678
333,176.0,11854.838709677419,12012.09677419355
334,171.0,12701.612903225807,12701.612903225807
335,172.0,12338.709677419356,12096.774193548386
336,178.0,11612.90322580645,11612.90322580645
337,173.0,12217.741935483871,12217.741935483871
338,174.0,12096.774193548386,11854.83870967742
339,180.0,11370.967741935483,11370.967741935483
340,175.0,11975.806451612903,11975.806451612903
341,176.0,11854.838709677419,11637.09677419355
342,181.0,11250.0,11709.677419354839
343,177.0,11733.870967741936,11516.129032258064
344,177.0,11733.870967741936,11467.74193548387
345,183.0,11008.064516129032,11008.064516129032
346,178.0,11612.90322580645,11612.90322580645
347,179.0,11491.935483870968,11225.806451612905
348,180.0,11370.967741935483,11274.193548387097
349,186.0,10645.161290322581,10645.161290322581
350,181.0,11250.0,11250.0
351,188.0,10403.225806451614,10572.580645161292
352,189.0,10282.258064516129,10282.258064516129
353,189.0,10282.258064516129,10524.193548387097
354,184.0,10887.09677419355,10887.09677419355
355,185.0,10766.129032258064,10403.225806451612
356,191.0,10040.322580645161,10451.612903225807
357,191.0,10040.322580645161,10258.064516129032
358,187.0,10524.193548387097,10064.516129032258
359,192.0,9919.354838709676,10016.129032258064
360,193.0,9798.387096774193,10064.516129032258
361,193.0,9798.387096774193,9991.935483870968
362,189.0,10282.258064516129,9919.354838709678
363,190.0,10161.290322580644,9967.74193548387
364,195.0,9556.451612903225,10016.129032258064
365,191.0,10040.322580645161,9943.548387096773
366,191.0,10040.322580645161,9895.16129032258
367,192.0,9919.354838709676,9846.774193548386
368,192.0,9919.354838709676,9677.419354838708
369,197.0,9314.516129032258,9508.064516129032
370,198.0,9193.548387096775,9338.709677419352
371,198.0,9193.548387096775,9266.129032258064
372,199.0,9072.58064516129,9193.548387096776
373,195.0,9556.451612903225,9241.935483870966
374,200.0,8951.612903225807,9169.354838709678
375,196.0,9435.483870967742,9120.967741935485
376,201.0,8830.645161290324,9072.580645161292
377,201.0,8830.645161290324,9000.000000000002
378,197.0,9314.516129032258,8951.612903225807
379,203.0,8588.709677419356,8588.709677419356
380,198.0,9193.548387096775,9193.548387096775
381,199.0,9072.58064516129,8927.41935483871
382,200.0,8951.612903225807,8951.612903225807
383,201.0,8830.645161290324,8709.677419354839
384,202.0,8709.677419354839,8588.709677419354
385,208.0,7983.870967741935,8491.935483870968
