x,y_pixel,y_value
249,234,5540.0696864111505
250,234,5540.0696864111505
251,235,5435.540069686412
252,236,5331.010452961673
253,237,5226.480836236934
254,238,5121.951219512195
255,238,5121.951219512195
256,238,5121.951219512195
257,239,5017.421602787457
258,240,4912.891986062718
259,241,4808.3623693379795
260,242,4703.832752613241
261,243,4599.303135888502
262,243,4599.303135888502
263,244,4494.773519163763
264,245,4390.243902439025
265,245,4390.243902439025
266,246,4285.714285714286
267,247,4181.184668989547
268,248,4076.6550522648085
269,249,3972.12543554007
270,249,3972.12543554007
271,251,3763.0662020905925
272,253,3554.0069686411152
273,254,3449.4773519163764
274,254,3449.4773519163764
275,255,3344.947735191638
276,256,3240.418118466899
277,257,3135.8885017421603
278,257,3135.8885017421603
279,258,3031.358885017422
280,259,2926.829268292683
281,260,2822.2996515679442
282,261,2717.770034843206
283,262,2613.240418118467
284,263,2508.7108013937286
285,264,2404.1811846689898
286,264,2404.1811846689898
287,265,2299.651567944251
288,266,2195.1219512195125
289,266,2195.1219512195125
290,267,2090.5923344947737
291,267,2090.5923344947737
292,269,1881.5331010452962
293,269,1881.5331010452962
294,269,1881.5331010452962
295,270,1777.0034843205576
296,271,1672.473867595819
297,273,1463.4146341463415
298,274,1358.885017421603
299,275,1254.3554006968643
300,275,1254.3554006968643
301,276,1149.8257839721255
302,276,1149.8257839721255
303,277,1045.2961672473868
304,278,940.7665505226481
305,280,731.7073170731708
306,280,731.7073170731708
307,281,627.1777003484322
308,282,522.6480836236934
309,283,418.11846689895475
310,285,209.05923344947738
311,286,104.52961672473869
312,286,104.52961672473869
313,286,104.52961672473869
314,286,104.52961672473869
315,286,104.52961672473869
316,288,-104.52961672473869
317,289,-209.05923344947738
318,290,-313.5888501742161
319,290,-313.5888501742161
320,292,-522.6480836236934
321,293,-627.1777003484322
322,294,-731.7073170731708
323,295,-836.2369337979095
324,296,-940.7665505226481
325,296,-940.7665505226481
326,297,-1045.2961672473868
327,297,-1045.2961672473868
328,298,-1149.8257839721255
329,299,-1254.3554006968643
330,300,-1358.885017421603
331,302,-1567.9442508710802
332,303,-1672.473867595819
333,304,-1777.0034843205576
334,305,-1881.5331010452962
335,306,-1986.062717770035
336,307,-2090.5923344947737
337,307,-2090.5923344947737
338,308,-2195.1219512195125
339,309,-2299.651567944251
340,310,-2404.1811846689898
341,310,-2404.1811846689898
342,311,-2508.7108013937286
343,311,-2508.7108013937286
344,312,-2613.240418118467
345,314,-2822.2996515679442
346,314,-2822.2996515679442
347,315,-2926.829268292683
348,315,-2926.829268292683
349,316,-3031.358885017422
350,317,-3135.8885017421603
351,317,-3135.8885017421603
352,318,-3240.418118466899
353,320,-3449.4773519163764
354,321,-3554.0069686411152
355,321,-3554.0069686411152
356,322,-3658.536585365854
357,323,-3763.0662020905925
358,324,-3867.5958188153313
359,324,-3867.5958188153313
360,325,-3972.12543554007
361,326,-4076.6550522648085
362,327,-4181.184668989547
363,329,-4390.243902439025
364,330,-4494.773519163763
365,330,-4494.773519163763
366,331,-4599.303135888502
367,331,-4599.303135888502
368,332,-4703.832752613241
369,333,-4808.3623693379795
370,334,-4912.891986062718
371,334,-4912.891986062718
372,336,-5121.951219512195
373,337,-5226.480836236934
374,338,-5331.010452961673
375,338,-5331.010452961673
376,339,-5435.540069686412
377,339,-5435.540069686412
378,340,-5540.0696864111505
379,340,-5540.0696864111505
380,340,-5540.0696864111505
381,340,-5540.0696864111505
382,340,-5540.0696864111505
383,340,-5540.0696864111505
384,339,-5435.540069686412
385,336,-5121.951219512195
386,334,-4912.891986062718
387,330,-4494.773519163763
388,329,-4390.243902439025
389,328,-4285.714285714286
390,327,-4181.184668989547
391,326,-4076.6550522648085
392,324,-3867.5958188153313
393,324,-3867.5958188153313
394,324,-3867.5958188153313
395,325,-3972.12543554007
396,326,-4076.6550522648085
397,327,-4181.184668989547
398,328,-4285.714285714286
399,329,-4390.243902439025
400,330,-4494.773519163763
401,330,-4494.773519163763
402,331,-4599.303135888502
403,332,-4703.832752613241
404,332,-4703.832752613241
405,333,-4808.3623693379795
406,333,-4808.3623693379795
407,334,-4912.891986062718
408,336,-5121.951219512195
409,337,-5226.480836236934
410,338,-5331.010452961673
411,339,-5435.540069686412
412,340,-5540.0696864111505
413,341,-5644.5993031358885
414,341,-5644.5993031358885
415,342,-5749.128919860627
416,343,-5853.658536585366
417,344,-5958.188153310105
418,344,-5958.188153310105
419,345,-6062.717770034844
420,345,-6062.717770034844
421,346,-6167.247386759583
422,347,-6271.777003484321
423,347,-6271.777003484321
424,348,-6376.3066202090595
425,349,-6480.836236933798
426,350,-6585.365853658537
427,350,-6585.365853658537
428,353,-6898.954703832753
429,353,-6898.954703832753
430,354,-7003.484320557492
431,355,-7108.0139372822305
432,357,-7317.073170731708
433,358,-7421.602787456446
434,358,-7421.602787456446
435,359,-7526.132404181185
436,359,-7526.132404181185
437,360,-7630.662020905924
438,360,-7630.662020905924
439,361,-7735.191637630663
440,362,-7839.7212543554015
