rotation,value,x,y,is_max
22431.51,-10661.91,298.00,361.75,False
22517.12,-10723.01,299.00,362.25,False
22602.74,-10814.66,300.00,363.00,False
22688.36,-10921.59,301.00,363.88,False
22773.97,-11013.24,302.00,364.62,False
22859.59,-11089.61,303.00,365.25,False
22945.21,-11150.71,304.00,365.75,False
23030.82,-11227.09,305.00,366.38,False
23116.44,-11303.46,306.00,367.00,False
23202.05,-11364.56,307.00,367.50,False
23287.67,-11425.66,308.00,368.00,False
23373.29,-11486.76,309.00,368.50,False
23458.90,-11563.14,310.00,369.12,False
23544.52,-11654.79,311.00,369.88,False
23630.14,-11731.16,312.00,370.50,False
23715.75,-11807.54,313.00,371.12,False
23801.37,-11899.19,314.00,371.88,False
23886.99,-11960.29,315.00,372.38,False
23972.60,-12006.11,316.00,372.75,False
24058.22,-12067.21,317.00,373.25,False
24143.84,-12128.31,318.00,373.75,False
24229.45,-12204.68,319.00,374.38,False
24315.07,-12281.06,320.00,375.00,False
24400.68,-12342.16,321.00,375.50,False
24486.30,-12403.26,322.00,376.00,False
24571.92,-12464.36,323.00,376.50,False
24657.53,-12525.46,324.00,377.00,False
24743.15,-12586.56,325.00,377.50,False
24828.77,-12662.93,326.00,378.12,False
24914.38,-12754.58,327.00,378.88,False
25000.00,-12830.96,328.00,379.50,False
25085.62,-12907.33,329.00,380.12,False
25171.23,-12998.98,330.00,380.88,False
25256.85,-13075.36,331.00,381.50,False
25342.47,-13151.73,332.00,382.12,False
25428.08,-13243.38,333.00,382.88,False
25513.70,-13304.48,334.00,383.38,False
25599.32,-13350.31,335.00,383.75,False
25684.93,-13426.68,336.00,384.38,False
25770.55,-13503.05,337.00,385.00,False
25856.16,-13564.15,338.00,385.50,False
25941.78,-13625.25,339.00,386.00,False
26027.40,-13686.35,340.00,386.50,False
26113.01,-13778.00,341.00,387.25,False
26198.63,-13915.48,342.00,388.38,False
26284.25,-14022.40,343.00,389.25,False
26369.86,-14083.50,344.00,389.75,False
26455.48,-14159.88,345.00,390.38,False
26541.10,-14251.53,346.00,391.12,False
26626.71,-14358.45,347.00,392.00,False
26712.33,-14465.38,348.00,392.88,False
26797.95,-14526.48,349.00,393.38,False
26883.56,-14572.30,350.00,393.75,False
26969.18,-14633.40,351.00,394.25,False
27054.79,-14694.50,352.00,394.75,False
27140.41,-14770.88,353.00,395.38,False
27226.03,-14862.53,354.00,396.12,False
27311.64,-14938.90,355.00,396.75,False
27397.26,-15000.00,356.00,397.25,False
27482.88,-15091.65,357.00,398.00,False
27568.49,-15183.30,358.00,398.75,False
27654.11,-15244.40,359.00,399.25,False
27739.73,-15336.05,360.00,400.00,False
27825.34,-15427.70,361.00,400.75,False
27910.96,-15488.80,362.00,401.25,False
27996.58,-15580.45,363.00,402.00,False
28082.19,-15672.10,364.00,402.75,False
28167.81,-15717.92,365.00,403.12,False
28253.42,-15748.47,366.00,403.38,False
28339.04,-15794.30,367.00,403.75,False
28424.66,-15870.67,368.00,404.38,False
28510.27,-15947.05,369.00,405.00,False
28595.89,-16023.42,370.00,405.62,False
28681.51,-16099.80,371.00,406.25,False
28767.12,-16145.62,372.00,406.62,False
28852.74,-16191.45,373.00,407.00,False
28938.36,-16267.82,374.00,407.62,False
