rotation,value,x,y,is_max
23373.29,-13029.53,309.00,381.12,False
23458.90,-13121.18,310.00,381.88,False
23544.52,-13197.56,311.00,382.50,False
23630.14,-13243.38,312.00,382.88,False
23715.75,-13273.93,313.00,383.12,False
23801.37,-13319.76,314.00,383.50,False
23886.99,-13396.13,315.00,384.12,False
23972.60,-13487.78,316.00,384.88,False
24058.22,-13564.15,317.00,385.50,False
24143.84,-13640.53,318.00,386.12,False
24229.45,-13716.90,319.00,386.75,False
24315.07,-13778.00,320.00,387.25,False
24400.68,-13854.38,321.00,387.88,False
24486.30,-13930.75,322.00,388.50,False
24571.92,-13976.58,323.00,388.88,False
24657.53,-14022.40,324.00,389.25,False
24743.15,-14114.05,325.00,390.00,False
24828.77,-14236.25,326.00,391.00,False
24914.38,-14343.18,327.00,391.88,False
25000.00,-14419.55,328.00,392.50,False
25085.62,-14465.38,329.00,392.88,False
25171.23,-14358.45,330.00,392.00,False
25256.85,-13991.85,331.00,389.00,False
25342.47,-13457.23,332.00,384.62,False
25428.08,-12846.23,333.00,379.62,False
25513.70,-12296.33,334.00,375.12,False
25599.32,-11822.81,335.00,371.25,False
25684.93,-11288.19,336.00,366.88,False
25770.55,-10738.29,337.00,362.38,False
25856.16,-10081.47,338.00,357.00,False
25941.78,-9287.17,339.00,350.50,False
26027.40,-8538.70,340.00,344.38,False
26113.01,-7836.05,341.00,338.62,False
26198.63,-7286.15,342.00,334.12,False
26284.25,-6934.83,343.00,331.25,False
26369.86,-6659.88,344.00,329.00,False
26455.48,-6507.13,345.00,327.75,False
26541.10,-6491.85,346.00,327.62,False
26626.71,-6537.68,347.00,328.00,False
26712.33,-6614.05,348.00,328.62,False
26797.95,-6705.70,349.00,329.38,False
26883.56,-6797.35,350.00,330.12,False
26969.18,-6889.00,351.00,330.88,False
27054.79,-6950.10,352.00,331.38,False
27140.41,-6980.65,353.00,331.62,False
27226.03,-7026.48,354.00,332.00,False
27311.64,-7087.58,355.00,332.50,False
27397.26,-7133.40,356.00,332.88,False
27482.88,-7163.95,357.00,333.12,False
27568.49,-7194.50,358.00,333.38,False
27654.11,-7240.33,359.00,333.75,False
27739.73,-7331.98,360.00,334.50,False
27825.34,-7438.90,361.00,335.38,False
27910.96,-7530.55,362.00,336.12,False
27996.58,-7622.20,363.00,336.88,False
28082.19,-7698.57,364.00,337.50,False
28167.81,-7759.67,365.00,338.00,False
28253.42,-7836.05,366.00,338.62,False
28339.04,-7927.70,367.00,339.38,False
28424.66,-8004.07,368.00,340.00,False
28510.27,-8065.17,369.00,340.50,False
28595.89,-8126.27,370.00,341.00,False
28681.51,-8172.10,371.00,341.38,False
28767.12,-8202.65,372.00,341.62,False
28852.74,-8263.75,373.00,342.12,False
28938.36,-8355.40,374.00,342.88,False
29023.97,-8431.77,375.00,343.50,False
29109.59,-8492.87,376.00,344.00,False
29195.21,-8553.97,377.00,344.50,False
29280.82,-8615.07,378.00,345.00,False
29366.44,-8691.45,379.00,345.62,False
29452.05,-8798.37,380.00,346.50,False
29537.67,-8905.30,381.00,347.38,False
29623.29,-8996.95,382.00,348.12,False
29708.90,-9103.87,383.00,349.00,False
29794.52,-9210.79,384.00,349.88,False
29880.14,-9302.44,385.00,350.62,False
29965.75,-9409.37,386.00,351.50,False
30051.37,-9516.29,387.00,352.38,False
30136.99,-9577.39,388.00,352.88,False
30222.60,-9623.22,389.00,353.25,False
30308.22,-9699.59,390.00,353.88,False
30393.84,-9791.24,391.00,354.62,False
30479.45,-9882.89,392.00,355.38,False
30565.07,-9959.27,393.00,356.00,False
30650.68,-10020.37,394.00,356.50,False
30736.30,-10066.19,395.00,356.88,False
30821.92,-10096.74,396.00,357.12,False
30907.53,-10157.84,397.00,357.62,False
30993.15,-10264.77,398.00,358.50,False
31078.77,-10356.42,399.00,359.25,False
31164.38,-10402.24,400.00,359.62,False
31250.00,-10448.07,401.00,360.00,False
31335.62,-10509.16,402.00,360.50,False
31421.23,-10570.26,403.00,361.00,False
31506.85,-10631.36,404.00,361.50,False
31592.47,-10707.74,405.00,362.12,False
31678.08,-10784.11,406.00,362.75,False
31763.70,-10845.21,407.00,363.25,False
31849.32,-10921.59,408.00,363.88,False
31934.93,-11013.24,409.00,364.62,False
32020.55,-11120.16,410.00,365.50,False
32106.16,-11211.81,411.00,366.25,False
32191.78,-11288.19,412.00,366.88,False
32277.40,-11395.11,413.00,367.75,False
32363.01,-11502.04,414.00,368.62,False
32448.63,-11578.41,415.00,369.25,False
32534.25,-11624.24,416.00,369.62,False
32619.86,-11654.79,417.00,369.88,False
32705.48,-11685.34,418.00,370.12,False
32791.10,-11731.16,419.00,370.50,False
32876.71,-11792.26,420.00,371.00,False
32962.33,-11853.36,421.00,371.50,False
33047.95,-11914.46,422.00,372.00,False
33133.56,-11975.56,423.00,372.50,False
33219.18,-12036.66,424.00,373.00,False
33304.79,-12097.76,425.00,373.50,False
33390.41,-12174.13,426.00,374.12,False
33476.03,-12250.51,427.00,374.75,False
33561.64,-12311.61,428.00,375.25,False
33647.26,-12403.26,429.00,376.00,False
33732.88,-12510.18,430.00,376.88,False
33818.49,-12586.56,431.00,377.50,False
33904.11,-12662.93,432.00,378.12,False
33989.73,-12754.58,433.00,378.88,False
34075.34,-12830.96,434.00,379.50,False
34160.96,-12907.33,435.00,380.12,False
34246.58,-12998.98,436.00,380.88,False
34332.19,-13075.36,437.00,381.50,False
34417.81,-13151.73,438.00,382.12,False
34503.42,-13258.66,439.00,383.00,False
34589.04,-13350.31,440.00,383.75,False
34674.66,-13411.41,441.00,384.25,False
34760.27,-13472.51,442.00,384.75,False
34845.89,-13533.60,443.00,385.25,False
34931.51,-13609.98,444.00,385.88,False
35017.12,-13686.35,445.00,386.50,False
35102.74,-13762.73,446.00,387.12,False
35188.36,-13854.38,447.00,387.88,False
35273.97,-13930.75,448.00,388.50,False
35359.59,-13991.85,449.00,389.00,False
35445.21,-14068.23,450.00,389.62,False
35530.82,-14159.88,451.00,390.38,False
35616.44,-14236.25,452.00,391.00,False
35702.05,-14312.63,453.00,391.62,False
35787.67,-14404.28,454.00,392.38,False
35873.29,-14480.65,455.00,393.00,False
35958.90,-14541.75,456.00,393.50,False
36044.52,-14618.13,457.00,394.12,False
36130.14,-14694.50,458.00,394.75,False
36215.75,-14755.60,459.00,395.25,False
36301.37,-14831.98,460.00,395.88,False
36386.99,-14893.08,461.00,396.38,False
36472.60,-14923.63,462.00,396.62,False
36558.22,-14969.45,463.00,397.00,False
36643.84,-15045.82,464.00,397.62,False
36729.45,-15137.47,465.00,398.38,False
36815.07,-15213.85,466.00,399.00,False
36900.68,-15290.22,467.00,399.62,False
36986.30,-15366.60,468.00,400.25,False
37071.92,-15427.70,469.00,400.75,False
37157.53,-15519.35,470.00,401.50,False
37243.15,-15626.27,471.00,402.38,False
37328.77,-15702.65,472.00,403.00,False
37414.38,-15763.75,473.00,403.50,False
37500.00,-15824.85,474.00,404.00,False
37585.62,-15901.22,475.00,404.62,False
37671.23,-15962.32,476.00,405.12,False
37756.85,-15717.92,477.00,403.12,False
37842.47,-15168.02,478.00,398.62,False
37928.08,-14801.43,479.00,395.62,False
38013.70,-14618.13,480.00,394.12,False
38099.32,-14404.28,481.00,392.38,False
38184.93,-14175.15,482.00,390.50,False
38270.55,-13609.98,483.00,385.88,False
38356.16,-12739.31,484.00,378.75,False
38441.78,-12097.76,485.00,373.50,False
38527.40,-11654.79,486.00,369.88,False
38613.01,-11227.09,487.00,366.38,False
38698.63,-10784.11,488.00,362.75,False
38784.25,-10356.42,489.00,359.25,False
38869.86,-10050.92,490.00,356.75,False
38955.48,-9775.97,491.00,354.50,False
39041.10,-9501.02,492.00,352.25,False
39126.71,-9271.89,493.00,350.38,False
39212.33,-9073.32,494.00,348.75,False
39297.95,-8935.85,495.00,347.62,False
39383.56,-8890.02,496.00,347.25,False
39469.18,-8920.57,497.00,347.50,False
39554.79,-8981.67,498.00,348.00,False
39640.41,-9058.04,499.00,348.62,False
39726.03,-9164.97,500.00,349.50,False
39811.64,-9287.17,501.00,350.50,False
39897.26,-9394.09,502.00,351.38,False
39982.88,-9470.47,503.00,352.00,False
40068.49,-9531.57,504.00,352.50,False
40154.11,-9592.67,505.00,353.00,False
40239.73,-9592.67,506.00,353.00,False
40325.34,-9455.19,507.00,351.88,False
40410.96,-9226.07,508.00,350.00,False
40496.58,-9027.49,509.00,348.38,False
40582.19,-8905.30,510.00,347.38,False
40667.81,-8798.37,511.00,346.50,False
40753.42,-8645.62,512.00,345.25,False
40839.04,-8416.50,513.00,343.38,False
40924.66,-8095.72,514.00,340.75,False
41010.27,-7774.95,515.00,338.12,False
41095.89,-7591.65,516.00,336.62,False
41181.51,-7530.55,517.00,336.12,False
41267.12,-7530.55,518.00,336.12,False
41352.74,-7576.37,519.00,336.50,False
41438.36,-7652.75,520.00,337.12,False
41523.97,-7729.12,521.00,337.75,False
41609.59,-7790.22,522.00,338.25,False
41695.21,-7866.60,523.00,338.88,False
41780.82,-7958.25,524.00,339.62,False
