rotation,value,x,y,is_max,is_min
35530.82,-3959.27,451.00,306.90,False,False
35616.44,-4533.28,452.00,311.60,False,False
35702.05,-4653.19,453.00,312.58,False,False
35787.67,-4781.99,454.00,313.63,False,False
35873.29,-4724.19,455.00,313.16,False,False
35958.90,-4816.50,456.00,313.91,False,False
36044.52,-4928.72,457.00,314.83,False,False
36130.14,-4887.98,458.00,314.50,False,False
36215.75,-5054.32,459.00,315.86,False,False
36301.37,-5219.85,460.00,317.22,False,False
36386.99,-5423.15,461.00,318.88,False,False
36472.60,-5550.36,462.00,319.92,False,False
36558.22,-5684.60,463.00,321.02,False,False
36643.84,-5814.06,464.00,322.08,False,False
36729.45,-6247.59,465.00,325.63,False,False
36815.07,-5706.72,466.00,321.20,False,False
36900.68,-5992.57,467.00,323.54,False,False
36986.30,-6003.74,468.00,323.63,False,False
37071.92,-6130.13,469.00,324.66,False,False
37157.53,-6504.78,470.00,327.73,False,False
37243.15,-6375.83,471.00,326.68,False,False
37328.77,-6232.18,472.00,325.50,False,False
37414.38,-6804.12,473.00,330.18,False,False
37500.00,-7090.89,474.00,332.53,False,False
37585.62,-7185.87,475.00,333.30,False,False
37671.23,-7384.38,476.00,334.93,False,False
37756.85,-6904.28,477.00,331.00,False,False
37842.47,-7253.76,478.00,333.86,False,False
37928.08,-7311.26,479.00,334.33,False,False
38013.70,-7318.28,480.00,334.39,False,False
38099.32,-7375.77,481.00,334.86,False,False
38184.93,-7393.08,482.00,335.00,False,False
38270.55,-7660.56,483.00,337.19,False,False
