x,y_pixel,y_value
262,329,-4390.243902439025
263,330,-4494.773519163763
264,330,-4494.773519163763
265,331,-4599.303135888502
266,331,-4599.303135888502
267,332,-4703.832752613241
268,332,-4703.832752613241
269,333,-4808.3623693379795
270,334,-4912.891986062718
271,334,-4912.891986062718
272,335,-5017.421602787457
273,335,-5017.421602787457
274,336,-5121.951219512195
275,337,-5226.480836236934
276,337,-5226.480836236934
277,338,-5331.010452961673
278,338,-5331.010452961673
279,339,-5435.540069686412
280,339,-5435.540069686412
281,340,-5540.0696864111505
282,341,-5644.5993031358885
283,342,-5749.128919860627
284,342,-5749.128919860627
285,343,-5853.658536585366
286,343,-5853.658536585366
287,343,-5853.658536585366
288,344,-5958.188153310105
289,344,-5958.188153310105
290,344,-5958.188153310105
291,344,-5958.188153310105
292,344,-5958.188153310105
293,343,-5853.658536585366
294,341,-5644.5993031358885
295,339,-5435.540069686412
296,339,-5435.540069686412
297,339,-5435.540069686412
298,339,-5435.540069686412
299,339,-5435.540069686412
300,339,-5435.540069686412
301,339,-5435.540069686412
302,340,-5540.0696864111505
303,340,-5540.0696864111505
304,341,-5644.5993031358885
305,342,-5749.128919860627
306,343,-5853.658536585366
307,344,-5958.188153310105
308,344,-5958.188153310105
309,344,-5958.188153310105
310,344,-5958.188153310105
311,343,-5853.658536585366
312,340,-5540.0696864111505
313,337,-5226.480836236934
314,330,-4494.773519163763
315,326,-4076.6550522648085
316,323,-3763.0662020905925
317,322,-3658.536585365854
318,322,-3658.536585365854
319,322,-3658.536585365854
320,322,-3658.536585365854
321,322,-3658.536585365854
322,322,-3658.536585365854
323,323,-3763.0662020905925
324,323,-3763.0662020905925
325,324,-3867.5958188153313
326,324,-3867.5958188153313
327,326,-4076.6550522648085
328,327,-4181.184668989547
329,327,-4181.184668989547
330,328,-4285.714285714286
331,329,-4390.243902439025
332,330,-4494.773519163763
333,330,-4494.773519163763
334,331,-4599.303135888502
335,331,-4599.303135888502
336,333,-4808.3623693379795
337,333,-4808.3623693379795
338,334,-4912.891986062718
339,334,-4912.891986062718
340,335,-5017.421602787457
341,335,-5017.421602787457
342,336,-5121.951219512195
343,337,-5226.480836236934
344,337,-5226.480836236934
345,337,-5226.480836236934
346,338,-5331.010452961673
347,339,-5435.540069686412
348,339,-5435.540069686412
349,339,-5435.540069686412
350,339,-5435.540069686412
351,340,-5540.0696864111505
352,341,-5644.5993031358885
353,342,-5749.128919860627
354,342,-5749.128919860627
355,343,-5853.658536585366
356,344,-5958.188153310105
357,345,-6062.717770034844
358,346,-6167.247386759583
359,347,-6271.777003484321
360,348,-6376.3066202090595
361,348,-6376.3066202090595
362,349,-6480.836236933798
363,349,-6480.836236933798
364,350,-6585.365853658537
365,350,-6585.365853658537
366,350,-6585.365853658537
367,351,-6689.895470383276
368,352,-6794.425087108014
369,352,-6794.425087108014
370,353,-6898.954703832753
371,353,-6898.954703832753
