rotation,value,x,y,is_max,is_min
23373.29,9857.57,309.00,192.85,False,False
23458.90,10289.54,310.00,189.27,False,False
23544.52,10838.32,311.00,184.72,False,False
23630.14,11130.04,312.00,182.31,False,False
23715.75,11353.58,313.00,180.45,False,False
23801.37,11249.09,314.00,181.32,False,False
23886.99,11172.22,315.00,181.96,False,False
23972.60,11044.08,316.00,183.02,False,False
24058.22,10961.77,317.00,183.70,False,False
24143.84,10883.30,318.00,184.35,False,False
24229.45,10822.21,319.00,184.86,False,False
24315.07,10723.45,320.00,185.67,False,False
24400.68,10613.10,321.00,186.59,False,False
24486.30,10516.29,322.00,187.39,False,False
24571.92,10443.26,323.00,188.00,False,False
24657.53,10357.65,324.00,188.70,False,False
24743.15,10253.80,325.00,189.56,False,False
24828.77,10119.55,326.00,190.68,False,False
24914.38,10022.47,327.00,191.48,False,False
25000.00,9890.11,328.00,192.58,False,False
25085.62,9922.61,329.00,192.31,False,False
25171.23,9799.35,330.00,193.33,False,False
25256.85,9741.60,331.00,193.81,False,False
25342.47,9647.07,332.00,194.59,False,False
25428.08,9575.67,333.00,195.18,False,False
25513.70,9499.14,334.00,195.82,False,False
25599.32,9398.15,335.00,196.65,False,False
25684.93,9270.63,336.00,197.71,False,False
25770.55,9138.79,337.00,198.80,False,False
25856.16,9014.78,338.00,199.83,False,False
25941.78,8920.70,339.00,200.61,False,False
26027.40,8794.30,340.00,201.65,False,False
26113.01,9008.35,341.00,199.88,False,False
26198.63,9237.96,342.00,197.98,False,False
26284.25,9425.33,343.00,196.43,False,False
26369.86,9572.07,344.00,195.21,False,False
26455.48,9799.67,345.00,193.33,False,False
26541.10,9797.99,346.00,193.34,False,False
26626.71,9770.97,347.00,193.56,False,False
26712.33,9712.91,348.00,194.04,False,False
26797.95,9633.36,349.00,194.70,False,False
26883.56,9528.10,350.00,195.58,False,False
26969.18,9440.04,351.00,196.30,False,False
27054.79,9365.19,352.00,196.92,False,False
27140.41,9275.34,353.00,197.67,False,False
27226.03,9175.42,354.00,198.50,False,False
27311.64,9080.42,355.00,199.28,False,False
27397.26,9018.68,356.00,199.80,False,False
27482.88,8973.48,357.00,200.17,False,False
27568.49,8923.54,358.00,200.58,False,False
27654.11,9351.74,359.00,197.04,False,False
27739.73,10430.58,360.00,188.10,False,False
27825.34,10189.93,361.00,190.09,False,False
27910.96,10707.12,362.00,185.81,False,False
27996.58,11610.82,363.00,178.32,False,False
28082.19,12495.89,364.00,170.99,False,False
28167.81,13360.98,365.00,163.83,False,False
