x_pixel,y_value,x_normalized
543,-902,0.5708908406524467
544,-992,0.5721455457967378
545,-992,0.5734002509410289
546,-1173,0.5746549560853199
547,-1173,0.5759096612296111
548,-1173,0.5771643663739021
549,-1173,0.5784190715181933
550,-1263,0.5796737766624843
551,-1263,0.5809284818067754
552,-1263,0.5821831869510665
553,-1353,0.5834378920953576
554,-1444,0.5846925972396487
555,-1444,0.5859473023839398
556,-1444,0.5872020075282308
557,-1534,0.588456712672522
558,-1624,0.589711417816813
559,-1624,0.5909661229611042
560,-1805,0.5922208281053952
561,-1805,0.5934755332496863
562,-1805,0.5947302383939774
564,-1985,0.5972396486825596
565,-1985,0.5984943538268507
566,-1985,0.5997490589711418
569,-2346,0.6035131744040151
570,-2346,0.6047678795483061
576,-2888,0.6122961104140527
577,-2797,0.6135508155583438
578,-2797,0.6148055207026348
579,-2888,0.616060225846926
580,-2888,0.617314930991217
581,-2978,0.6185696361355082
582,-2978,0.6198243412797992
583,-2978,0.6210790464240903
584,-3158,0.6223337515683814
585,-3158,0.6235884567126725
590,-3520,0.6298619824341279
591,-3520,0.6311166875784191
592,-3520,0.6323713927227101
593,-3610,0.6336260978670013
594,-3610,0.6348808030112923
595,-3790,0.6361355081555834
596,-3790,0.6373902132998746
597,-3881,0.6386449184441656
598,-3881,0.6398996235884568
599,-3881,0.6411543287327478
600,-3881,0.6424090338770388
601,-3881,0.64366373902133
602,-3971,0.644918444165621
603,-4151,0.6461731493099122
604,-4151,0.6474278544542033
605,-4151,0.6486825595984943
606,-4242,0.6499372647427855
607,-4242,0.6511919698870765
608,-4422,0.6524466750313677
609,-4422,0.6537013801756587
610,-4422,0.6549560853199499
611,-4422,0.6562107904642409
612,-4603,0.657465495608532
613,-4603,0.6587202007528231
614,-4693,0.6599749058971142
615,-4693,0.6612296110414053
616,-4693,0.6624843161856964
617,-4783,0.6637390213299874
618,-4873,0.6649937264742786
619,-4964,0.6662484316185696
620,-5054,0.6675031367628608
621,-5054,0.6687578419071518
622,-5054,0.6700125470514429
623,-5054,0.671267252195734
624,-5144,0.6725219573400251
625,-5144,0.6737766624843162
626,-5144,0.6750313676286073
627,-5325,0.6762860727728983
628,-5415,0.6775407779171895
629,-5415,0.6787954830614805
630,-5595,0.6800501882057717
631,-5776,0.6813048933500627
632,-5866,0.6825595984943539
633,-5866,0.6838143036386449
634,-5866,0.685069008782936
635,-5956,0.6863237139272271
636,-5956,0.6875784190715182
637,-6047,0.6888331242158093
638,-6047,0.6900878293601004
639,-6047,0.6913425345043914
640,-6137,0.6925972396486826
641,-6227,0.6938519447929736
642,-6227,0.6951066499372648
643,-6227,0.6963613550815558
647,-6408,0.7013801756587202
648,-6408,0.7026348808030113
649,-6408,0.7038895859473023
