x,y,relative_y,value
651,183,77,9240
652,183,77,9240
653,183,77,9240
654,183,77,9240
655,183,77,9240
656,183,77,9240
657,183,77,9240
658,183,77,9240
659,183,77,9240
660,183,77,9240
661,183,77,9240
662,183,77,9240
663,183,77,9240
664,183,77,9240
665,183,77,9240
666,183,77,9240
667,183,77,9240
668,183,77,9240
669,183,77,9240
670,183,77,9240
671,183,77,9240
672,183,77,9240
673,183,77,9240
674,183,77,9240
675,183,77,9240
676,183,77,9240
677,183,77,9240
678,183,77,9240
679,183,77,9240
680,183,77,9240
681,183,77,9240
682,183,77,9240
683,183,77,9240
684,183,77,9240
685,183,77,9240
686,183,77,9240
687,183,77,9240
688,183,77,9240
689,183,77,9240
690,183,77,9240
691,183,77,9240
692,183,77,9240
693,183,77,9240
694,183,77,9240
695,183,77,9240
696,183,77,9240
697,183,77,9240
698,183,77,9240
699,183,77,9240
700,183,77,9240
701,183,77,9240
702,183,77,9240
703,183,77,9240
704,183,77,9240
705,183,77,9240
706,183,77,9240
707,183,77,9240
708,183,77,9240
709,183,77,9240
710,183,77,9240
711,183,77,9240
712,183,77,9240
713,183,77,9240
714,183,77,9240
715,183,77,9240
716,183,77,9240
717,183,77,9240
718,183,77,9240
719,183,77,9240
720,183,77,9240
721,183,77,9240
722,183,77,9240
723,183,77,9240
724,183,77,9240
725,183,77,9240
726,183,77,9240
727,183,77,9240
728,183,77,9240
729,183,77,9240
730,183,77,9240
731,183,77,9240
732,183,77,9240
733,183,77,9240
734,183,77,9240
735,183,77,9240
736,183,77,9240
737,183,77,9240
738,183,77,9240
739,183,77,9240
740,183,77,9240
741,183,77,9240
742,183,77,9240
743,183,77,9240
744,183,77,9240
745,183,77,9240
746,183,77,9240
747,183,77,9240
748,183,77,9240
749,183,77,9240
750,183,77,9240
751,183,77,9240
752,183,77,9240
753,183,77,9240
754,183,77,9240
755,183,77,9240
756,183,77,9240
757,183,77,9240
758,183,77,9240
759,183,77,9240
760,183,77,9240
761,183,77,9240
762,183,77,9240
763,183,77,9240
764,183,77,9240
765,183,77,9240
766,183,77,9240
767,183,77,9240
768,183,77,9240
769,183,77,9240
770,183,77,9240
771,183,77,9240
772,183,77,9240
773,183,77,9240
774,183,77,9240
775,183,77,9240
776,183,77,9240
777,183,77,9240
778,183,77,9240
779,183,77,9240
780,183,77,9240
781,183,77,9240
782,183,77,9240
783,183,77,9240
784,183,77,9240
785,183,77,9240
786,183,77,9240
787,183,77,9240
788,183,77,9240
789,183,77,9240
790,183,77,9240
791,183,77,9240
792,183,77,9240
793,183,77,9240
794,183,77,9240
795,183,77,9240
796,183,77,9240
797,183,77,9240
798,183,77,9240
799,183,77,9240
800,183,77,9240
801,183,77,9240
802,183,77,9240
803,183,77,9240
804,183,77,9240
805,183,77,9240
806,183,77,9240
807,183,77,9240
808,183,77,9240
809,183,77,9240
810,183,77,9240
811,183,77,9240
812,183,77,9240
813,183,77,9240
814,183,77,9240
815,183,77,9240
816,183,77,9240
817,183,77,9240
818,183,77,9240
819,183,77,9240
820,183,77,9240
821,183,77,9240
822,183,77,9240
823,183,77,9240
824,183,77,9240
825,183,77,9240
826,183,77,9240
827,183,77,9240
828,183,77,9240
829,183,77,9240
830,183,77,9240
831,183,77,9240
832,183,77,9240
833,183,77,9240
834,183,77,9240
835,183,77,9240
836,183,77,9240
837,183,77,9240
838,183,77,9240
839,183,77,9240
840,183,77,9240
841,183,77,9240
842,183,77,9240
843,183,77,9240
844,183,77,9240
845,183,77,9240
846,183,77,9240
847,183,77,9240
848,183,77,9240
849,183,77,9240
850,183,77,9240
851,183,77,9240
852,183,77,9240
853,183,77,9240
854,183,77,9240
855,183,77,9240
856,183,77,9240
857,183,77,9240
858,183,77,9240
859,183,77,9240
860,183,77,9240
861,183,77,9240
862,183,77,9240
863,183,77,9240
864,183,77,9240
865,183,77,9240
866,183,77,9240
867,183,77,9240
868,183,77,9240
